"PMID"	"YEAR"	"CITY"	"GEOLONG"	"GEOLAT"	"COUNTRY"	"#SAMPLES"	"NO_CCGH"	"NO_ACGH"	"NO_WES"	"NO_WGS"	"STATUS"
22429598	2012	"Montreal"	-73.59	45.51	"Canada"	1	0	1	0	0	"sample data in Progenetix"
22523339	2012	"Melbourne"	144.96	-37.81	"Australia"	1	0	1	0	0	"sample data in Progenetix"
22530150	2012	"Toronto"	-79.42	43.7	"Canada"	1	0	1	0	0	"sample data not accessible"
22534638	2012	"Dijon"	5.02	47.32	"France"	1	0	1	0	0	"sample data in Progenetix"
22649506	2012	"Scottsdale"	-111.9	33.51	"United States"	1	0	0	0	1	"sample data not accessible"
22666492	2012	"Tuebingen"	9.05	48.52	"Germany"	1	0	1	0	0	"incomplete"
22678079	2012	"Nice"	7.27	43.7	"France"	1	0	1	0	0	"sample data in Progenetix"
22682625	2012	"Warsaw"	21.01	52.23	"Poland"	1	1	0	0	0	"sample data in Progenetix"
22691290	2012	"Sao Paulo"	-46.64	-23.55	"Brazil"	1	0	1	0	0	"sample data not accessible"
22749035	2012	"Newark, DE"	-75.67	39.69	"United States"	1	0	1	0	0	"sample data in Progenetix"
22749039	2012	"Suqian"	118.28	33.96	"China"	1	0	1	0	0	"sample data in Progenetix"
22779072	2012	"Busan"	129.04	35.1	"Korean Republic"	1	0	1	0	0	"sample data in Progenetix"
22779075	2012	"Seoul"	126.98	37.57	"Korean Republic"	1	0	1	0	0	"sample data in Progenetix"
22799487	2012	"Sao Paulo"	-46.64	-23.55	"Brazil"	1	0	1	0	0	"sample data in Progenetix"
22819381	2012	"Kyoto"	135.75	35.02	"Japan"	1	0	1	0	0	"sample data in Progenetix"
22890726	2013	"Osaka-shi"	135.5	34.69	"Japan"	1	0	1	0	0	"sample data in Progenetix"
22983601	2012	"San Francisco"	-122.42	37.77	"United States"	1	0	1	0	0	"sample data in Progenetix"
23117839	2013	"Amsterdam"	4.89	52.37	"Netherlands"	1	0	1	0	0	"incomplete"
23287866	2013	"Seoul"	126.98	37.57	"Korean Republic"	1	0	1	0	0	"incomplete"
23303473	2013	"Toronto"	-79.42	43.7	"Canada"	1	0	1	0	0	"sample data not accessible"
23330001	2013	"Tampa"	-82.46	27.95	"United States"	1	0	1	0	0	"sample data in article or supplement"
23735562	2013	"Aarhus"	10.21	56.16	"Denmark"	1	0	1	0	0	"sample data in article or supplement"
23942639	2013	"New York City"	-74.01	40.71	"United States"	1	0	1	0	0	"sample data in Progenetix"
24042168	2013	"Columbia"	-87.04	35.62	"United States"	1	0	1	0	0	"sample data in Progenetix"
24128716	2013	"Santiago"	-70.65	-33.46	"Chile"	1	0	0	0	1	"sample data not accessible"
24249660	2014	"Ankara"	32.85	39.92	"Turkey"	1	0	1	0	0	"sample data not accessible"
24596673	2014	"Aarhus"	10.21	56.16	"Denmark"	1	0	1	0	0	"incomplete"
24689486	2014	"Helsinki"	24.94	60.17	"Finland"	1	0	0	1	0	"incomplete"
25314094	2015	"Marseille"	5.38	43.3	"France"	1	0	1	0	0	"sample data in article or supplement"
25435396	2015	"Jena"	11.59	50.93	"Germany"	1	0	1	0	0	"incomplete [full text missing]"
25473623	2014	"Aarhus"	10.21	56.16	"Denmark"	1	0	1	0	0	"incomplete"
25529125	2015	"New York City"	-74.01	40.71	"United States"	1	0	0	1	0	"incomplete"
25591849	2015	"Tokyo"	139.69	35.69	"Japan"	1	0	0	1	0	"incomplete"
25790812	2015	"Rome"	12.51	41.89	"Italy"	1	0	1	0	0	"incomplete"
25802883	2015	"Scottsdale"	-111.9	33.51	"United States"	1	0	0	0	1	"incomplete"
25865046	2015	"Bethesda"	-77.1	38.98	"United States"	1	0	1	0	0	"incomplete"
25918615	2015	"Jacksonville"	-90.23	39.73	"United States"	1	0	0	1	0	"incomplete"
25940061	2015	"Durham"	-78.9	35.99	"United States"	1	0	0	1	0	"incomplete"
25951887	2016	"New York City"	-74.01	40.71	"United States"	1	0	0	1	0	"incomplete"
25962155	2015	"Rochester"	-70.98	43.3	"United States"	1	0	1	0	0	"incomplete"
25962659	2015	"Aarhus"	10.21	56.16	"Denmark"	1	0	1	0	0	"incomplete"
26026101	2015	"Amsterdam"	4.89	52.37	"Netherlands"	1	0	1	0	0	"incomplete"
26310374	2015	"Seoul"	126.98	37.57	"Korean Republic"	1	0	0	1	0	"sample data in article or supplement"
26366361	2015	"Fukuoka-shi"	130.42	33.61	"Japan"	1	1	0	0	0	"sample data in article or supplement"
26371886	2015	"Barretos"	-48.57	-20.56	"Brazil"	1	0	1	1	0	"incomplete"
26432421	2015	"Uppsala"	17.64	59.86	"Sweden"	1	0	0	1	0	"incomplete"
26451490	2015	"Chapel Hill"	-79.06	35.91	"United States"	817	0	335	817	0	"incomplete"
26557502	2015	"Newcastle under Lyme"	-2.23	53	"United Kingdom"	1	0	0	1	0	"incomplete"
26718059	2016	"New York City"	-74.01	40.71	"United States"	1	0	0	0	1	"incomplete"
27047543	2016	"Sharjah"	55.41	25.34	"Arab Emirates"	1	1	0	0	0	"incomplete"
27075406	2016	"Chengdu"	104.07	30.67	"China"	1	0	1	0	0	"incomplete"
27267075	2016	"Milano"	9.19	45.46	"Italy"	1	0	1	0	0	"incomplete"
27863505	2016	"Sao Paulo"	-46.64	-23.55	"Brazil"	1	0	1	1	0	"incomplete"
28434767	2017	"Taipei"	121.53	25.05	"Taiwan"	1	0	1	0	0	"incomplete"
28474091	2017	"Akita"	140.12	39.72	"Japan"	1	0	0	1	0	"incomplete"
28943925	2017	"Copenhagen"	12.57	55.68	"Denmark"	1	0	1	0	0	"incomplete"
29679510	2018	"Rouen"	1.1	49.44	"France"	1	0	1	0	0	"incomplete"
29688850	2018	"Weifang"	119.1	36.71	"China"	1	0	0	0	1	"incomplete"
29749539	2018	"Tokyo"	139.69	35.69	"Japan"	1	0	1	0	0	"incomplete"
29862022	2018	"Hong Kong"	114.16	22.29	"China"	1	0	0	1	0	"incomplete"
29872726	2018	"Vancouver"	-123.12	49.25	"Canada"	1	0	0	0	1	"incomplete"
29888014	2018	"Oslo"	10.75	59.91	"Norway"	1	0	0	1	0	"incomplete"
29951225	2018	"Manchester"	-2.24	53.48	"United Kingdom"	1	0	0	1	0	"incomplete"
30284660	2018	"Montreal"	-73.59	45.51	"Canada"	1	0	0	1	0	"incomplete"
30631260	2018	"Tampa"	-82.46	27.95	"United States"	1	0	0	0	1	"incomplete"
30659648	2019	"Siena"	11.33	43.32	"Italy"	1	0	0	1	0	"incomplete"
30675202	2019	"Copenhagen"	12.57	55.68	"Denmark"	1	0	1	0	0	"incomplete"
30697976	2019	"Tokyo"	139.69	35.69	"Japan"	1	0	0	0	1	"incomplete"
7509627	1993	"Detroit"	-83.05	42.33	"United States"	1	1	0	0	0	"sample data in Progenetix"
7627945	1995	"Cambridge UK"	0.12	52.21	"United Kingdom"	1	1	0	0	0	"sample data in Progenetix"
8547649	1996	"New York City"	-74.01	40.71	"United States"	1	1	0	0	0	"sample data not accessible"
9174626	1997	"Gent"	3.72	51.05	"Belgium"	1	1	0	0	0	"sample data not accessible"
9351988	1997	"Poznan"	16.93	52.41	"Poland"	1	1	0	0	0	"sample data in Progenetix"
9683779	1998	"Innsbruck"	11.39	47.26	"Austria"	1	1	0	0	0	
9689653	1998	"Muenster"	7.63	51.96	"Germany"	1	1	0	0	0	"sample data not accessible"
9747033	1998	"Tokyo"	139.69	35.69	"Japan"	1	1	0	0	0	"sample data not accessible"
9892199	1999	"Bethesda"	-77.1	38.98	"United States"	1	1	0	0	0	"sample data in Progenetix"
10612807	2000	"Bethesda"	-77.1	38.98	"United States"	2	2	0	0	0	"sample data in Progenetix"
10700865	2000	"Madrid"	-3.7	40.42	"Spain"	2	2	0	0	0	"sample data in Progenetix"
10702812	2000	"Genoa"	8.92	44.43	"Italy"	2	2	0	0	0	"sample data in Progenetix"
10958935	2000	"Barcelona"	2.16	41.39	"Spain"	2	2	0	0	0	"sample data in Progenetix"
11355179	2001	"Goettingen"	9.93	51.53	"Germany"	2	2	0	0	0	"sample data in Progenetix"
11516105	2001	"Hong Kong"	114.16	22.29	"China"	2	2	0	0	0	"sample data in Progenetix"
11587216	2001	"Bethesda"	-77.1	38.98	"United States"	2	2	0	0	0	"sample data in Progenetix"
11719443	2001	"Bethesda"	-77.1	38.98	"United States"	2	2	0	0	0	"sample data in Progenetix"
11787857	2001	"Zurich"	8.55	47.37	"Switzerland"	2	2	0	0	0	"sample data in Progenetix"
11978962	2001	"Dublin"	-6.25	53.33	"Ireland"	2	2	0	0	0	"sample data in Progenetix"
12001129	2002	"Beijing"	116.4	39.91	"China"	2	2	0	0	0	"sample data in Progenetix"
12063178	2002	"Hong Kong"	114.16	22.29	"China"	2	2	0	0	0	"sample data not accessible"
12489674	2002	"Houston"	-95.36	29.76	"United States"	2	2	0	0	0	"sample data in Progenetix"
12605371	2003	"Kanazawa"	136.66	36.56	"Japan"	2	2	0	0	0	"sample data in Progenetix"
12704668	2003	"Ulm"	9.99	48.4	"Germany"	2	2	0	0	0	"sample data in Progenetix"
12750885	2003	"Ulm"	9.99	48.4	"Germany"	2	2	0	0	0	"sample data in Progenetix"
12759925	2003	"Bethesda"	-77.1	38.98	"United States"	2	2	0	0	0	"sample data in Progenetix"
14736278	2004	"Basel"	7.57	47.56	"Switzerland"	2	2	0	0	0	"sample data in Progenetix"
15153736	2004	"Seoul"	126.98	37.57	"Korean Republic"	2	2	0	0	0	"sample data not accessible"
15188144	2004	"San Francisco"	-122.42	37.77	"United States"	2	0	2	0	0	"sample data in article or supplement"
15193437	2004	"Bethesda"	-77.1	38.98	"United States"	2	2	0	0	0	"sample data in Progenetix"
15218253	2004	"Toronto"	-79.42	43.7	"Canada"	2	0	2	0	0	"sample data not accessible"
15569059	2004	"Bari"	16.86	41.11	"Italy"	2	2	0	0	0	"sample data in Progenetix"
15668805	2005	"Heidelberg"	8.69	49.41	"Germany"	2	2	0	0	0	"sample data in Progenetix"
15668903	2004	"Braunschweig"	10.53	52.27	"Germany"	2	2	0	0	0	"sample data in Progenetix"
15731927	2005	"Szeged"	20.15	46.25	"Hungary"	2	0	2	0	0	"sample data in article or supplement"
15735707	2005	"Paris"	2.35	48.85	"France"	2	0	2	0	0	"sample data not accessible"
15937994	2005	"Cambridge UK"	0.12	52.21	"United Kingdom"	2	2	0	0	0	"sample data in Progenetix"
15968688	2005	"Oslo"	10.75	59.91	"Norway"	2	2	0	0	0	"sample data in Progenetix"
16012846	2005	"Bochum"	7.22	51.48	"Germany"	2	2	0	0	0	"sample data in Progenetix"
16206192	2006	"Muenster"	7.63	51.96	"Germany"	2	2	2	0	0	"sample data in Progenetix"
16467165	2007	"Sutton"	-0.2	51.35	"United Kingdom"	2	0	2	0	0	"sample data not accessible"
16617324	2006	"Perugia"	12.39	43.11	"Italy"	2	2	1	0	0	"sample data in Progenetix"
16820897	2006	"Fukuoka-shi"	130.42	33.61	"Japan"	2	2	0	0	0	"sample data in Progenetix"
17175381	2007	"Zurich"	8.55	47.37	"Switzerland"	2	0	2	0	0	"sample data in Progenetix"
17210724	2007	"Essen"	7.01	51.46	"Germany"	2	0	2	0	0	"sample data in GEO"
17213017	2007	"Lund"	13.19	55.71	"Sweden"	2	1	2	0	0	"sample data in Progenetix"
17276656	2007	"Vancouver"	-123.12	49.25	"Canada"	2	0	2	0	0	"sample data in GEO"
17620293	2007	"Rotterdam"	4.48	51.92	"The Netherlands"	2	0	2	0	0	"sample data in article or supplement"
17665342	2007	"Giessen"	8.68	50.59	"Germany"	2	2	0	0	0	"sample data in Progenetix"
17694321	2007	"Basel"	7.57	47.56	"Switzerland"	2	2	0	0	0	"sample data in Progenetix"
18066590	2008	"Plzen"	13.37	49.74	"Czech Republic"	2	0	2	0	0	"sample data in Progenetix"
18292934	2008	"Goeteborg"	11.97	57.71	"Sweden"	2	0	2	0	0	"incomplete [full text missing]"
18360827	2008	"Heidelberg"	8.69	49.41	"Germany"	2	0	2	0	0	"sample data in article or supplement"
18558285	2008	"Paris"	2.35	48.85	"France"	2	2	0	0	0	"sample data in Progenetix"
18580311	2008	"Seoul"	126.98	37.57	"Korean Republic"	2	2	0	0	0	"sample data in Progenetix"
18698372	2008	"Toronto"	-79.42	43.7	"Canada"	2	0	2	0	0	"sample data in GEO"
19188929	2009	"North Chicago"	-87.84	42.33	"United States"	2	0	2	0	0	"incomplete [full text missing]"
19426152	2009	"Bethesda"	-77.1	38.98	"United States"	2	0	2	0	0	"incomplete [full text missing]"
19439076	2009	"Aarhus"	10.21	56.16	"Denmark"	2	0	2	0	0	"sample data in GEO"
19490474	2009	"Bari"	16.86	41.11	"Italy"	2	0	2	0	0	"sample data in article or supplement"
